Year;Airline;Code;Al Code ICAO;Country;Country Code OAG;Country Code IATA;IATA Regions;Passengers Carried;Kilometres Flown;Aircraft Departures;Hours Flown;Passenger-Kilometres Flown;Available Seat-Kilometres;Tonne-Kilometres Performed;Passenger Load Factor;Period Fin;Currency;Operating Revenue;Operating Revenue Pax;Operating Expenses;Operating Profit;Net Result;Employees;Traf. Source;Fin Source;Pers. Source;Year End;Remarques
2006;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;8632000;78000;62400;133300;13059900;17222700;1351100;76;12;USD;1430500;1280000;1389600;40900;-88000;3556;Al Monitor 10/07;Al Monitor 10/07;IATA;31.12;NA
2007;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9305000;89000;67200;150200;14804000;19629000;1490000;75.4;12;USD;1768000;1546000;1646000;122000;145000;3617;Al Monitor 10/08;Al Monitor 10/08;Internet 10/08;31.12;NA
2008;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;10001000;102000;74300;171600;16274000;22365000;1626000;72.8;12;USD;1994000;1692000;2020000;-26000;-157400;4035;Al Monitor 10/15;Al Monitor 10/15/;Internet 10/09;31.12;NA
2009;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;10382000;100000;75400;167700;15817000;21224000;1548000;74.5;12;USD;1727400;1382000;1843500;-116100;-186400;3844;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9346000;87000;68500;149800;13892000;18266000;1399000;76.1;12;USD;1605000;1321000;1536000;69000;57000;3516;Al Monitor 10/12;Al Monitor 10/12;Internet 11/11;31.12;NA
2011;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9514000;90000;70500;154829;14048000;18589000;1466000;75.6;12;USD;1801000;1493000;1732000;69000;100000;3491;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;NA
2012;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9653000;91000;71600;154400;14520000;18682000;1514000;77.7;12;USD;1797000;1490000;1708000;89000;44000;3566;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9625000;91000;71400;156500;14804000;18894000;1393000;78.4;12;USD;1895000;1556000;1814000;81000;45000;4000;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9766000;99000;71600;165200;16085000;20368000;1674000;79;12;USD;2052000;1728000;1957000;95000;NA;4000;Al Monitor 10/16;Al Monitor 10/16;Internet 09/15;31.12;NA
2015;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;10149000;104000;72000;173200;17528000;21471000;1826000;81.6;12;USD;1895000;1795000;1758000;137000;NA;4000;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;7233000;209000;80200;268600;22208000;31655000;2831000;70.2;12;USD;2628000;2210000;2380500;247500;256500;14717;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2007;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;8129000;221000;87000;284700;24564000;34958000;2681000;70;12;USD;3025000;2364000;2722000;303000;238000;15303;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
2008;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;9221000;236000;94400;305200;27085000;38175000;2829000;70.9;12;USD;3892500;3044000;3572700;319800;328000;15641;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2009;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;8660000;222000;85900;283500;25664000;36995000;2710000;69.4;12;USD;2849000;2603000;2490000;359000;89000;13306;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2010;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;11256000;258000;97500;326000;34667000;44850000;4070000;77.3;12;USD;3770800;3406000;3359500;411300;278000;14319;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;14041000;309000;121500;391100;41672000;53757000;4659000;77.5;12;USD;5387000;4196000;4998000;389000;492000;15500;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;17266000;359000;147900;454300;49600000;63795000;5586000;77.7;12;USD;8151000;6765000;7793000;358000;167000;16418;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;20595000;398000;165900;505000;59503000;75599000;6276000;78.7;12;USD;9086000;7737000;8468000;618000;229000;17891;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;23603000;434000;183800;554400;67090000;85764000;6721000;78.2;12;USD;8092000;6798000;7807000;285000;-434000;18981;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;26106000;468000;206400;594600;74088000;93420000;7290000;79.3;12;USD;6698000;5640000;5986000;712000;-105000;20404;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;3551000;65000;37700;98500;10604000;13277000;1087000;79.9;12;USD;869000;745000;864000;5000;-33000;6155;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2007;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;3079000;64000;33100;97000;10424000;13226000;1062000;78.8;12;USD;1100000;900000;NA;NA;-100000;6618;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2008;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;2879000;62000;33800;95100;8781000;12137000;916000;72.3;12;USD;1005000;850000;1948000;-943000;NA;6512;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2009;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;2664000;58000;30800;89600;8198000;11347000;881000;72.2;12;USD;820000;750000;1383000;-563000;NA;6767;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2010;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;3816000;72000;41900;112000;10256000;14025000;1061000;73.1;12;USD;1175000;1000000;1661000;-486000;NA;NA;Al Monitor 10/12;Al Monitor 10/12;NA;31.12;NA
2011;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;3481000;71000;36400;108100;10631000;14374000;1093000;74;12;USD;1200000;1050000;NA;NA;-850000;7720;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;3812000;72000;37000;109000;11128000;14545000;1143000;76.5;12;USD;1600000;1200000;NA;NA;-442000;7720;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;4000000;79000;40000;119000;11997000;15997000;1245000;75;12;USD;1700000;1300000;NA;NA;-247000;2065;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;6315000;107000;57100;161200;15531000;20690000;1572000;75.1;12;USD;1895000;1500000;NA;NA;NA;8305;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;AEROLINEAS ARGENTINAS;AR;ARG;ARGENTINA;303;ARGT;South America;7464000;119000;64600;180100;18299000;22883000;1998000;80;12;USD;2084000;1700000;1861000;223000;-192000;10491;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;8358000;146000;101400;249700;13864000;20924000;1483000;66.3;12;USD;1717000;1500000;NA;NA;NA;6402;Al Monitor 10/15;Al Monitor 10/15/;ICAO;31.12;NA
2007;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;7961000;147000;96300;251800;14379000;21507000;1508000;66.9;12;USD;1628000;1383000;NA;NA;NA;6323;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2008;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;7032000;134000;81900;226500;13651000;19830000;1442000;68.8;12;USD;2170000;1858000;2306000;-136000;-159000;6121;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2009;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;5937000;116000;64700;188400;12227000;17764000;1311000;68.8;12;USD;1651000;1471000;1732000;-81000;-171000;5320;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2010;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;6462000;120000;65100;190700;13960000;18443000;1539000;75.7;12;USD;2220000;1990000;2006000;214000;188000;5302;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;8304000;150000;80000;239600;17868000;23323000;1879000;76.6;12;USD;2858000;2574000;2578000;280000;142000;5717;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;8270000;153000;80100;248100;18233000;24086000;1918000;75.7;12;USD;2987000;2684000;2815000;172000;101000;5938;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;8565000;159000;81200;259400;19338000;25168000;1977000;76.8;12;USD;3097000;2760000;2910000;187000;84000;6056;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;9353000;170000;79800;273000;22376000;28269000;2411000;79.2;12;USD;3211000;2854000;3085000;126000;6000;6139;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;AEROMEXICO;AM;AMX;MEXICO;148;MEXC;Central America/Caribbean;10408000;184000;85600;294500;25174000;31814000;2777000;79.1;12;USD;2938000;2612000;2748000;190000;72000;6612;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;23124000;513000;213200;764000;72472000;89458000;7894000;81;12;USD;9334000;7855000;8988000;346000;362000;15103;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2007;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;23436000;533000;217800;798300;74386000;91517000;8215000;81.3;12;USD;10157000;8600000;9732000;425000;437800;15308;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2008;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;23171000;527000;217800;793500;74483000;90463000;7963000;82.3;12;USD;10381000;8800000;10567000;-186000;-112000;15534;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;22166000;498000;212000;747100;70975000;86489000;7578000;82.1;12;USD;9284100;7489000;9585300;-301200;-22900;22900;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;23615000;534000;224800;794500;77443000;93239000;8557000;83.1;12;USD;10428000;9114000;10159000;269000;103000;22795;Al Monitor 10/12;Al Monitor 10/12;IATA;31.12;NA
2011;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;24213000;553000;227300;825100;80660000;97380000;8801000;82.8;12;USD;11779000;10355000;11597000;182000;-253000;23262;Al Monitor 10/12;Al Monitor 10/12;IATA;31.12;NA
2012;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;24713000;555000;250400;834000;82575000;98190000;9047000;84.1;12;USD;12131000;10747000;11694000;437000;-136000;23602;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2013;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;24158000;547000;210400;807500;82538000;98182000;9084000;84.1;12;USD;11965000;10650000;11367000;598000;10000;23908;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;22944000;496000;182800;729800;81803000;97051000;9084000;84.3;12;USD;11978000;10653000;11242000;736000;95000;23172;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;AIR CANADA;AC;ACA;CANADA;900;CAND;North America;23618000;500000;182400;725800;85478000;101340000;9335000;84.3;12;USD;10746000;9624000;9587000;1159000;239000;23301;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;31315000;451000;271500;699400;59950000;78839000;8616000;76;12;USD;5043200;4721000;4789900;253300;398800;22544;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2007;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;34752000;488000;288900;765300;66750000;84742000;9658000;78.8;12;USD;6192400;5755000;5715400;477100;399200;24376;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2008;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;34152000;493000;289900;782300;65708000;87455000;9377000;75.1;12;USD;6555500;6260000;6805700;-250100;-1374100;23566;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2009;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;39665000;531000;322400;846200;72895000;94590000;9956000;77.1;12;USD;6756300;6450000;6482800;273500;638200;24774;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2010;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;46008000;598000;352800;949700;85470000;106182000;12018000;80.5;12;USD;9367900;8900000;8074500;1293400;1215500;25901;Al Monitor 10/11;Al Monitor 10/11;IATA;31.12;NA
2011;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;66850000;831000;512300;1276800;119233000;145370000;15411000;82;12;USD;15260000;12950000;14289000;971000;1095000;26946;Al Monitor 10/12;Al Monitor 10/12;IATA;31.12;Includes Shenzhen Al
2012;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;69077000;868000;531700;1339300;124702000;154310000;15956000;80.8;12;USD;16005000;13793000;14702000;1303000;782000;27730;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2013;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;73338000;924000;560100;1475500;135823000;167262000;16947000;81.2;12;USD;15985000;14115000;15396000;589000;782000;30047;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;77765000;1009000;601400;1593400;147093000;183468000;18634000;80.2;12;USD;17158000;15006000;15981000;1177000;702000;36283;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;AIR CHINA;CA;CCA;CHINA;713;CHIN;Asia;84151000;1114000;643800;1762400;163536000;203880000;20938000;80.2;12;USD;17500000;15253000;15027000;2473000;1194000;38149;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;9234000;88334000;63100;141600;14602000;18600000;1314000;78.5;12;USD;1325700;1156000;1311700;14000;8900;4350;Al Monitor 10/09;Al Monitor 10/09;IATA;31.1;NA
2007;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;9938000;100000;68900;158000;17061000;21368000;1536000;79.8;12;USD;1545600;1479000;1500300;45300;28000;2922;Al Monitor 10/10;Al Monitor 10/10;IATA;31.1;NA
2008;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;9471000;98000;65200;155100;17028000;21245000;1533000;80.2;12;USD;1770900;NA;1769400;1500;7600;2775;Al Monitor 10/10;Al Monitor 10/10;IATA;31.1;NA
2009;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;8981000;94000;63200;147700;16220000;20173000;1460000;80.4;12;USD;1523100;1616000;1488400;34600;26700;2717;Al Monitor 10/13;Al Monitor 10/13;IATA;31.1;NA
2010;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;8981000;100000;65300;158000;17177000;21610000;1546000;79.5;12;USD;1663200;1549000;1599500;63700;24400;2734;Al Monitor 10/11;Al Monitor 10/11;IATA;31.1;NA
2011;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;8665000;102000;65300;161500;17709000;22292000;1594000;79.4;12;USD;1862900;1805000;1873100;-10200;-12900;2779;Al Monitor 10/12;Al Monitor 10/12;IATA;31.1;NA
2012;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;8077000;94000;58100;149300;17426000;21160000;1569000;82.4;12;USD;1720000;1691000;1745000;-25000;-18200;2499;Al Monitor 10/13;Al Monitor 10/13;IATA;31.1;NA
2013;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;8137000;94000;61500;151500;18293000;21571000;1700000;84.8;12;USD;2043000;1997000;1950000;93000;61000;2782;Al Monitor 10/14;Al Monitor 10/14;IATA;31.1;NA
2014;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;9681000;116000;76300;188800;18810000;22240000;2321000;84.6;12;USD;2344000;2248000;2304000;40000;22000;2968;Al Monitor 10/15;Al Monitor 10/15;IATA;31.1;NA
2015;AIR EUROPA;UX;AEA;SPAIN (MELILLA);482;SPAN;Europe;10221000;119000;82200;195400;23180000;27550000;2425000;84.1;12;USD;1874000;1802000;1870000;4000;-2000;2980;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;49411000;784000;568100;1283200;123435000;155546000;17127000;79.4;12;USD;19845000;16500000;19473000;372000;484000;60288;Al Monitor 10/14;Al Monitor 10/14;ICAO;31.03;Merged with KLM in 2004, division of financial data is estimated
2007;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;50465000;803000;570200;1305700;128890000;160897000;17870000;80.1;12;USD;22989000;19013000;22042000;947000;691000;60059;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;Merged with KLM in 2004, division of financial data is estimated
2008;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;50449000;816000;573800;1327400;131821000;166756000;17844000;79.1;12;USD;22229000;17572000;22635000;-406000;-874000;59665;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;Division of financial data is estimated
2009;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;47965000;765000;535000;1240100;126391000;160370000;16227000;78.8;12;USD;19117000;15000000;20530000;-1413000;-1662000;57448;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;Division of financial data is estimated
2010;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;47029000;725000;498600;1172800;125150000;155515000;16157000;80.5;12;USD;19828000;15428000;20173000;-345000;617000;55322;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;Division of financial data is estimated
2011;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;49769000;749000;519600;1208100;133010000;165479000;16815000;80.4;12;USD;21663000;17613000;22447000;-784000;-1132000;54975;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;Division of financial data is estimated
2012;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;50636000;730000;511600;1182000;135796000;166605000;16668000;81.5;12;USD;20598000;17216000;21013000;-415000;-1448000;54261;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;Division of financial data is estimated
2013;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;47820000;679000;424100;1070500;136375000;165233000;16460000;82.5;12;USD;21061000;17605000;21220000;-159000;-2594000;51745;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;Division of financial data is estimated
2014;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;45406000;634000;356800;972400;134498000;160848000;16058000;83.6;12;USD;20150000;16771000;20551000;-401000;-734000;52541;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;Merged with KLM in 2004
2015;AIR FRANCE/KLM;AFKL;NA;FRANCE;427;FRAN;Europe;49472000;660000;370000;1000000;141176000;167932000;16860000;84.1;12;USD;17818000;14775000;17341000;477000;80000;62885;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;Merged with KLM in 2004
2006;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;4446000;106000;35900;149900;19876000;31405000;2267000;63.3;12;USD;1867000;1179000;2138000;-271000;-99000;15376;Al Monitor 10/14;Al Monitor 10/14;ICAO;31.03;Estimated
2007;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;14289000;260000;152200;383000;32161000;48575000;3489000;66.2;12;USD;3395900;2481000;4042000;6462000;-555000;33203;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;Includes Air India and Indian Al
2008;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;11021000;231000;144800;369900;26890000;45990000;3283000;58.5;12;USD;2899000;1993000;4064000;-1165000;-1193000;32116;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;(a) Reports for AI and IC
2009;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;11774000;224000;141800;360900;28457000;44232000;3393000;64.3;12;USD;2833000;1934000;3505000;-672000;1174000;30686;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;(a) Reports for AI and IC
2010;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;13349000;227000;146400;370800;31073000;46225000;3832000;67.2;12;USD;3131000;2294000;3953000;-822000;-1508000;29032;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;(a) Reports for AI and IC
2011;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;13573000;220000;143900;353200;30703000;45759000;3669000;67.1;12;USD;3061000;2377000;4122000;-1061000;-1573000;27783;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2012;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;14137000;204000;148500;320600;28789000;40852000;3300000;70.5;12;USD;2960000;2312000;2956000;4000;-1008000;26244;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2013;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;15650000;221000;145800;350000;32976000;44757000;3881000;73.7;12;USD;3137000;2348000;3672000;-535000;-1032000;24635;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2014;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;17002000;231052000;147700;369300;35304000;47994000;4139000;73.6;12;USD;3361000;2596000;3699000;-338000;-955000;22502;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2015;AIR INDIA;AI;AIC;INDIA;733;INDA;Asia;18611000;349000;149600;385800;38169000;50531000;4371000;75.5;12;USD;3238000;2401000;3237000;1000;-402000;20306;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2006;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12064000;181000;212000;321400;25668000;34682000;3436000;74;12;USD;2527000;2051000;2429000;98000;64000;11113;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2007;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12598000;208000;216500;327300;27276000;35876000;3679000;76;12;USD;2965000;2413000;2911000;54000;14000;10975;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2008;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12617000;188000;215900;334800;27534000;36311000;3651000;75.8;12;USD;3596000;2934000;3319000;277000;168000;11037;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2009;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12087000;169000;205000;312200;25353000;32877000;3249000;77.1;12;USD;2751000;2228000;2704000;47000;13000;10531;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2010;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12564000;170000;200600;304900;25647000;32048000;3347000;80;12;USD;2842000;2322000;2736000;106000;58000;10787;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2011;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12837000;169000;198600;304900;25763000;32188000;3212000;80;12;USD;3315000;2692000;3232000;83000;62000;10683;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2012;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;12959000;171000;194700;306100;26695000;33063000;3378000;80.7;12;USD;3627000;2940000;3499000;128000;57000;10720;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2013;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;13362000;171000;193700;307800;27058000;32962000;3369000;82.1;12;USD;3782000;3085000;3529000;253000;148000;10615;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2014;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;13595000;171000;189100;308400;27485000;33675000;3472000;81.6;12;USD;3859000;3194000;3533000;326000;218000;10693;Al Monitor 10/16;Al Monitor 10/16;IATA;30.06;Financials are Group
2015;AIR NEW ZEALAND;NZ;ANZ;NEW ZEALAND;851;NEWZ;Southwest Pacific;14400000;190000;200000;342000;30493000;37542000;3850000;81.2;12;USD;3755000;3136000;3337000;418000;249000;10196;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;30.06;Financials are Group
2006;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;5719000;NA;NA;NA;6701000;8644000;NA;77.5;12;USD;293000;250000;273000;20000;54200;2016;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2007;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;9717000;NA;NA;NA;11134000;14533000;NA;76.6;12;USD;787000;400000;647000;140000;270000;2924;Al Monitor 10/14;Al Monitor 10/14;Internet 10/13;31.12;NA
2008;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;11808000;NA;NA;NA;14436000;19213000;NA;75.1;12;USD;857000;478000;963000;-106000;-149000;3799;Al Monitor 10/14;Al Monitor 10/14;Internet 10/13;31.12;NA
2009;AIRASIA;AK;AXM;MALAYSIA;749;MALB;Asia;15285000;NA;NA;NA;22196000;29073000;NA;76.3;12;USD;1106000;757000;876000;230000;169000;4593;Al Monitor 10/15;Al Monitor 10/15;Internet 10/13;31.12;NA
